      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2014/12/10-09:35,2855.94,2903.61,2855.94,2872.18,4331347,           ,           ,           ,           ,4331347,           ,           ,0,0,0
 2014/12/10-09:40,2872.06,2873.25,2835.46,2835.46,2797568,           ,           ,           ,           ,2797568,           ,           ,-2.93,-0.59,-4.69
 2014/12/10-09:45,2833.37,2833.37,2811.05,2830.67,2834794,           ,           ,           ,           ,2834794,           ,           ,-5.57,-1.58,-7.98
 2014/12/10-09:50,2832.29,2863.56,2832.29,2855.79,1913274,           ,           ,           ,           ,1913274,           ,           ,-5.58,-2.38,-6.39
 2014/12/10-09:55,2853.57,2858.15,2842.17,2858.13,1530844,2850.45,           ,           ,           ,1530844,2681565.5,           ,-5.33,-2.97,-4.72
 2014/12/10-10:00,2859.22,2877.15,2859.22,2871.39,1563062,2850.29,           ,           ,           ,1563062,2127908.5,           ,-4.02,-3.18,-1.67
 2014/12/10-10:05,2870.5,2870.5,2858.19,2863.06,1121427,2855.81,           ,           ,           ,1121427,1792680.25,           ,-3.61,-3.27,-0.68
 2014/12/10-10:10,2863.67,2866.83,2843.57,2843.57,1142258,2858.39,           ,           ,           ,1142258,1454173,           ,-4.8,-3.57,-2.46
 2014/12/10-10:15,2844.21,2850.51,2837.47,2848.96,1074511,2857.02,           ,           ,           ,1074511,1286420.25,           ,-5.25,-3.91,-2.68
 2014/12/10-10:20,2848.41,2854.22,2848.06,2848.06,846711,2855.01,2852.73,           ,           ,846711,1149593.75,1915579.63,-5.62,-4.25,-2.73
 2014/12/10-10:25,2847.62,2847.62,2836.27,2842.76,1050931,2849.28,2849.78,           ,           ,1050931,1047167.81,1587538.13,-6.26,-4.65,-3.22
 2014/12/10-10:30,2844.32,2854.46,2843.78,2853.57,884460,2847.38,2851.6,           ,           ,884460,999774.38,1396227.25,-5.83,-4.89,-1.89
 2014/12/10-10:35,2853.6,2853.6,2838.01,2838.01,969315,2846.27,2852.33,           ,           ,969315,965185.63,1209679.25,-6.67,-5.24,-2.85
 2014/12/10-10:40,2837.81,2837.81,2829.38,2830.45,1255420,2842.57,2849.8,           ,           ,1255420,1001367.63,1143893.88,-7.85,-5.77,-4.18
 2014/12/10-10:45,2829.86,2831.04,2811.3,2811.3,1270315,2835.22,2845.11,           ,           ,1270315,1086088,1117840.88,-10.22,-6.66,-7.13
 2014/12/10-10:50,2810.87,2825.18,2807.68,2825.18,1381734,2831.7,2840.49,           ,           ,1381734,1152248.75,1099708.25,-10.85,-7.5,-6.71
 2014/12/10-10:55,2825.29,2840.57,2825.29,2836.05,826730,2828.2,2837.79,           ,           ,826730,1140702.38,1070238.38,-10.35,-8.07,-4.57
 2014/12/10-11:00,2835.73,2852.88,2835.73,2852.88,707334,2831.17,2838.72,           ,           ,707334,1088306.75,1026746.19,-8.5,-8.15,-0.7
 2014/12/10-11:05,2853.41,2853.93,2845.64,2851.72,722655,2835.43,2839,           ,           ,722655,981753.63,991560.63,-7.05,-7.93,1.77
 2014/12/10-11:10,2851.01,2864.28,2850.62,2864.15,766676,2846,2840.61,2846.67,           ,766676,881026,983557,-4.84,-7.31,4.95
 2014/12/10-11:15,2864.53,2872.3,2860.06,2860.06,819127,2852.97,2842.34,2846.06,           ,819127,768504,960376.38,-3.38,-6.53,6.3
 2014/12/10-11:20,2860.58,2860.58,2854.15,2860.38,555335,2857.84,2843.02,2847.31,           ,555335,714225.63,927464,-2.17,-5.65,6.97
 2014/12/10-11:25,2859.76,2860.7,2853.93,2860.11,535379,2859.28,2845.23,2848.78,           ,535379,679834.38,884070.63,-1.22,-4.77,7.1
 2014/12/10-13:00,2861.19,2868.37,2861.09,2867.55,532974,2862.45,2848.94,2849.37,           ,532974,641898,811825.81,0.13,-3.79,7.84
 2014/12/10-13:05,2867.27,2878.55,2867.27,2875.05,916239,2864.63,2855.31,2850.21,           ,916239,671810.81,776418.38,1.79,-2.67,8.92
 2014/12/10-13:10,2875.17,2875.17,2865.69,2865.79,594844,2865.78,2859.37,2849.93,           ,594844,626954.38,697729.19,2.33,-1.67,8
 2014/12/10-13:15,2865.95,2872.82,2864.84,2872.82,612810,2868.26,2863.05,2850.42,           ,612810,638448.81,676337.19,3.28,-0.68,7.93
 2014/12/10-13:20,2872.75,2877.24,2872.38,2872.72,791622,2870.79,2865.04,2851.88,           ,791622,689697.63,684766,3.99,0.25,7.47
 2014/12/10-13:25,2871.66,2871.67,2867.77,2870.98,700638,2871.47,2866.96,2852.98,           ,700638,723231.19,682564.63,4.35,1.07,6.56
 2014/12/10-13:30,2869.87,2880.25,2869.87,2880.25,698397,2872.51,2868.57,2854.59,           ,698397,679662.38,675736.63,5.33,1.93,6.81
 2014/12/10-13:35,2881.11,2892.52,2880.96,2892.2,890159,2877.79,2871.79,2857.06,           ,890159,738724.81,682839.63,6.99,2.94,8.1
 2014/12/10-13:40,2892.08,2893.87,2891.11,2893,855015,2881.83,2875.05,2859.03,           ,855015,787166.38,712807.63,8.27,4.01,8.54
 2014/12/10-13:45,2893.46,2898.33,2893.23,2895.47,835774,2886.38,2878.58,2861.91,           ,835774,795996.81,742847.19,9.38,5.08,8.6
 2014/12/10-13:50,2894.6,2894.97,2874.98,2874.98,841069,2887.18,2879.33,2864.13,           ,841069,824082.38,773656.81,8.51,5.77,5.48
 2014/12/10-13:55,2875.67,2878.73,2872.67,2878.73,672786,2886.88,2879.69,2867.5,           ,672786,818960.81,749311.63,8.03,6.22,3.62
 2014/12/10-14:00,2879.14,2909.73,2878.97,2909.73,896948,2890.38,2884.09,2871.73,           ,896948,820318.38,779521.63,10.03,6.98,6.1
 2014/12/10-14:05,2909.17,2912.3,2900.68,2906.61,955295,2893.1,2887.47,2875.26,           ,955295,840374.38,813770.38,11.24,7.83,6.81
 2014/12/10-14:10,2906.6,2926.35,2906.6,2925.26,1260198,2899.06,2892.72,2878.88,           ,1260198,925259.19,860628,13.54,8.97,9.14
 2014/12/10-14:15,2924.54,2924.9,2910.23,2913.32,877517,2906.73,2896.96,2881.96,           ,877517,932548.81,878315.63,14.24,10.03,8.43
 2014/12/10-14:20,2912.71,2914.93,2906,2909.64,675771,2912.91,2899.89,2884.23,           ,675771,933145.63,876053.19,14.33,10.89,6.89
 2014/12/10-14:25,2909.35,2924.35,2908.86,2923.78,809693,2915.72,2903.05,2887.42,           ,809693,915695.19,868006.81,15.37,11.79,7.17
 2014/12/10-14:30,2924.34,2925.57,2921.11,2922.87,808311,2918.97,2906.04,2890.54,           ,808311,886298.38,863336.38,15.94,12.62,6.64
 2014/12/10-14:35,2922.08,2937.22,2922.08,2937.22,1016535,2921.37,2910.21,2894.4,           ,1016535,837564.81,881412,17.34,13.56,7.56
 2014/12/10-14:40,2937.71,2940.66,2933.23,2933.56,1092635,2925.41,2916.07,2897.7,           ,1092635,880588.81,906568.81,17.95,14.44,7.03
 2014/12/10-14:45,2933.71,2939.29,2933.42,2939.29,1016761,2931.34,2922.13,2900.91,           ,1016761,948787.19,940966.38,18.68,15.29,6.79
 2014/12/10-14:50,2939.77,2946.33,2939.77,2946.03,1364738,2935.79,2925.76,2904.92,           ,1364738,1059796,987745.63,19.58,16.15,6.87
 2014/12/10-14:55,2946.28,2946.33,2937.09,2937.09,1440966,2938.64,2928.81,2908.14,           ,1440966,1186327.25,1036312.81,19.35,16.79,5.12
 2014/12/10-15:00,2937.29,2940.88,2936.61,2940.01,1440071,2939.2,2930.28,2911.5,           ,1440071,1271034.38,1054299.63,19.18,17.27,3.83
 2014/12/11-09:35,2912.35,2923.39,2899.25,2923.24,3444471,2937.13,2931.27,2914.11,           ,3444471,1741401.63,1310995.25,17.49,17.31,0.36
 2014/12/11-09:40,2923.53,2933.08,2920.77,2929.77,2280411,2935.23,2933.29,2916.59,           ,2280411,1994131.25,1471459.25,16.49,17.15,-1.32
 2014/12/11-09:45,2929.94,2929.94,2923.05,2929.08,1815914,2931.84,2933.82,2918.43,           ,1815914,2084366.38,1572081.25,15.46,16.81,-2.7
 2014/12/11-09:50,2929.11,2944.43,2929.11,2943.9,1605418,2933.2,2935.92,2920.98,           ,1605418,2117256.75,1651792,15.66,16.58,-1.84
 2014/12/11-09:55,2944.74,2945.27,2931.63,2932.02,1552966,2931.6,2935.4,2922.81,           ,1552966,2139836,1705435.25,14.69,16.2,-3.02
 2014/12/11-10:00,2931.74,2950.1,2931.16,2949.33,1254621,2936.82,2936.98,2926.52,           ,1254621,1701866.38,1721634,15.15,15.99,-1.69
 2014/12/11-10:05,2950.29,2955.06,2946.1,2946.15,1327746,2940.1,2937.66,2929.9,           ,1327746,1511332.75,1752732,15.07,15.81,-1.46
 2014/12/11-10:10,2947.32,2961.38,2947.18,2958.3,1384344,2945.94,2938.89,2932.32,           ,1384344,1425019.25,1754692.75,15.82,15.81,0.02
 2014/12/11-10:15,2958.29,2958.29,2945.75,2946.63,1201887,2946.49,2939.84,2934.32,           ,1201887,1344312.75,1730784.75,15.29,15.7,-0.83
 2014/12/11-10:20,2946.5,2962.53,2946.43,2962.53,1175976,2952.59,2942.1,2936.19,           ,1175976,1268915.25,1704375.63,15.97,15.76,0.42
 2014/12/11-10:25,2962.24,2965.26,2956.97,2957.94,1152789,2954.31,2945.57,2938.42,           ,1152789,1248548.75,1475207.63,15.95,15.8,0.31
 2014/12/11-10:30,2957.12,2960.72,2953.6,2953.6,1207005,2955.8,2947.95,2940.62,2890.51,1207005,1224400,1367866.38,15.41,15.72,-0.62
 2014/12/11-10:35,2953.57,2953.57,2920.91,2920.91,1647078,2948.32,2947.13,2940.47,2891.32,1647078,1276947.25,1350983.25,12.2,15.02,-5.62
 2014/12/11-10:40,2920.17,2936.07,2918.57,2930.54,1352772,2945.1,2945.8,2940.86,2892.9,1352772,1307123.25,1325718,10.32,14.08,-7.51
 2014/12/11-10:45,2931.12,2936.97,2926.87,2936.97,868625,2939.99,2946.29,2940.84,2894.67,868625,1245652.75,1257284,9.24,13.11,-7.74
 2014/12/11-10:50,2937.17,2947.73,2937.17,2945.72,817196,2937.55,2945.93,2941.45,2896.17,817196,1178534.38,1213541.63,8.99,12.28,-6.6
 2014/12/11-10:55,2945.73,2945.73,2931.53,2932.77,702347,2933.38,2944.59,2941.13,2897.42,702347,1077603.25,1151001.63,7.65,11.36,-7.41
 2014/12/11-11:00,2934.12,2934.38,2924.56,2927.81,695928,2934.76,2941.54,2940.22,2898.36,695928,887372.81,1082160,6.12,10.31,-8.37
 2014/12/11-11:05,2927.06,2944.04,2927.06,2944.04,627023,2937.46,2941.28,2940.56,2899.71,627023,742224,1024673.63,6.15,9.48,-6.66
 2014/12/11-11:10,2944.44,2947.12,2943.79,2946.24,606846,2939.32,2939.65,2940.87,2901.42,606846,689868.81,967760.81,6.28,8.84,-5.12
 2014/12/11-11:15,2945.96,2945.96,2934.3,2934.83,512039,2937.14,2937.34,2941.45,2902.85,512039,628836.81,903685.63,5.4,8.15,-5.51
 2014/12/11-11:20,2935.18,2941.39,2931.03,2931.03,540139,2936.79,2935.09,2941.52,2904.23,540139,596395.19,836999.19,4.34,7.39,-6.1
 2014/12/11-11:25,2932.18,2932.18,2919,2920.81,793788,2935.39,2935.08,2941.1,2905.53,793788,615968,751670.38,2.65,6.44,-7.58
 2014/12/11-13:00,2921.41,2926.93,2920.47,2921.7,607964,2930.92,2934.19,2939.99,2906.67,607964,612155.19,677189.63,1.36,5.43,-8.12
 2014/12/11-13:05,2920.86,2920.86,2912.48,2920.46,930489,2925.77,2932.54,2939.42,2908.04,930489,676883.19,683376,0.24,4.39,-8.29
 2014/12/11-13:10,2920.23,2924.13,2920.23,2921.1,602777,2923.02,2930.08,2938,2909.55,602777,695032,661934.38,-0.59,3.39,-7.96
 2014/12/11-13:15,2920.54,2921.22,2909.26,2911.56,862152,2919.13,2927.96,2936.27,2911.22,862152,759433.63,677914.38,-1.99,2.32,-8.62
 2014/12/11-13:20,2910.9,2912.18,2893.94,2894.12,1073689,2913.79,2924.59,2933.07,2912.37,1073689,815414.38,715691.19,-4.46,0.96,-10.84
 2014/12/11-13:25,2892.9,2906.17,2892.64,2903.84,901490,2910.22,2920.57,2930.93,2913.5,901490,874120,743137.63,-5.57,-0.35,-10.45
 2014/12/11-13:30,2903.86,2914.49,2902.65,2914.49,602197,2909.02,2917.39,2928.52,2914.53,602197,808460.81,742672,-5.52,-1.38,-8.29
 2014/12/11-13:35,2915.28,2920.93,2914.22,2914.22,613705,2907.64,2915.33,2926.34,2915.57,613705,810646.38,752839.19,-5.45,-2.19,-6.51
 2014/12/11-13:40,2914.61,2921.19,2912.82,2921.19,503984,2909.57,2914.35,2924.72,2916.52,503984,739014.38,749224,-4.77,-2.71,-4.12
 2014/12/11-13:45,2920.55,2922.63,2915.08,2916.1,633012,2913.97,2913.88,2924.48,2917.46,633012,650876.81,733145.63,-4.59,-3.09,-3.01
 2014/12/11-13:50,2916.06,2928.5,2915,2928.5,589158,2918.9,2914.56,2924.38,2918.59,589158,588411.19,731265.63,-3.41,-3.15,-0.52
 2014/12/11-13:55,2929.06,2934.42,2928.49,2931.84,722763,2922.37,2915.7,2924.12,2919.79,722763,612524.81,710492.81,-2.18,-2.96,1.56
 2014/12/11-14:00,2931.81,2933.88,2923.53,2923.53,539128,2924.23,2915.94,2923.01,2920.72,539128,597608,704127.19,-1.85,-2.73,1.77
 2014/12/11-14:05,2923.05,2925.74,2919.8,2925.34,447191,2925.06,2917.32,2922.64,2921.56,447191,586249.63,662632,-1.43,-2.47,2.09
 2014/12/11-14:10,2923.7,2934.46,2923.64,2934.45,637983,2928.73,2921.35,2922.97,2922.7,637983,587244.81,619060.81,-0.36,-2.05,3.39
 2014/12/11-14:15,2934.18,2940.1,2933.93,2940.1,671396,2931.05,2924.98,2922.77,2923.82,671396,603691.19,596051.19,0.94,-1.45,4.78
 2014/12/11-14:20,2940.51,2940.68,2931.03,2932.1,620606,2931.1,2926.74,2922.07,2924.81,620606,583260.81,597892.81,1.31,-0.9,4.41
 2014/12/11-14:25,2930.53,2931.38,2924.59,2924.8,559461,2931.36,2927.8,2921.56,2925.71,559461,587328,592468,1,-0.52,3.03
 2014/12/11-14:30,2924.13,2925.22,2921.86,2925.22,662369,2931.33,2928.2,2921.27,2926.46,662369,630363.19,608306.38,0.78,-0.26,2.07
 2014/12/11-14:35,2925.27,2925.55,2914.38,2914.38,884133,2927.32,2928.02,2920.95,2926.83,884133,679593.63,633419.19,-0.27,-0.26,-0.02
 2014/12/11-14:40,2914.16,2919.38,2909.45,2919.38,1031759,2923.17,2927.11,2920.84,2927.27,1031759,751667.19,677679.19,-0.69,-0.35,-0.68
 2014/12/11-14:45,2920.13,2923.46,2919.29,2921.52,761665,2921.06,2926.08,2920.89,2927.7,761665,779878.38,681569.63,-0.84,-0.45,-0.78
 2014/12/11-14:50,2921.92,2925.6,2921.24,2924.64,947047,2921.03,2926.19,2921.07,2928.53,947047,857393.63,722360.81,-0.7,-0.5,-0.4
 2014/12/11-14:55,2924.44,2924.9,2920.69,2921.32,1415017,2920.25,2925.79,2921.55,2929.24,1415017,1007924.81,819144,-0.84,-0.57,-0.55
 2014/12/11-15:00,2921.49,2926.94,2920.74,2925.74,1591656,2922.52,2924.92,2923.13,2929.51,1591656,1149428.75,914511.19,-0.59,-0.57,-0.05
 2014/12/12-09:35,2929.36,2939.99,2929.36,2932.26,3157136,2925.1,2924.14,2924.56,2929.94,3157136,1574504,1163085.63,0.13,-0.43,1.12
 2014/12/12-09:40,2931.32,2945.63,2929.52,2944.76,1800595,2929.74,2925.4,2926.07,2930.26,1800595,1782289.63,1281084,1.69,-0.01,3.39
 2014/12/12-09:45,2943.73,2944.6,2937.85,2939.34,1681228,2932.68,2926.86,2927.33,2930.69,1681228,1929126.38,1393260,2.46,0.48,3.95
 2014/12/12-09:50,2939.51,2948.88,2938.98,2948.88,1548838,2938.19,2929.22,2928.71,2931.35,1548838,1955889.63,1481907.25,3.8,1.15,5.3
 2014/12/12-09:55,2950.08,2950.57,2944.85,2945.19,1552512,2942.09,2932.3,2930.16,2931.7,1552512,1948060.75,1548744.75,4.51,1.82,5.37
 2014/12/12-10:00,2945.1,2945.3,2936.07,2942.65,1448623,2944.16,2934.63,2930.87,2932.03,1448623,1606358.38,1590431.25,4.81,2.42,4.78
 2014/12/12-10:05,2943.32,2943.99,2933.79,2933.79,1108651,2941.97,2935.86,2930.97,2931.98,1108651,1467969.63,1625129.63,4.28,2.79,2.99
 2014/12/12-10:10,2933.21,2934.24,2930.06,2931.43,1054328,2940.39,2936.53,2931.36,2931.94,1054328,1342592,1635859.25,3.63,2.96,1.35
 2014/12/12-10:15,2932.41,2942.39,2930.51,2942.39,900665,2939.09,2938.64,2932.22,2931.99,900665,1212956.75,1584423.25,3.96,3.16,1.6
 2014/12/12-10:20,2943.85,2951.76,2943.85,2950.56,1240249,2940.16,2941.13,2933.02,2932.07,1240249,1150504,1549282.38,4.82,3.49,2.66
