      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2016/08/03-13:30,2980.15,2981.15,2974.05,2975.05,1339866,2975,2966.8,2958.55,2989.83,1339866,1977958.38,1729228.75,-1.29,-5.68,8.79
 2016/08/03-14:00,2975.48,2978.98,2973.63,2974.93,1582364,2975.2,2968.9,2959.8,2989.05,1582364,1673011.25,1791180.75,-0.66,-4.67,8.03
 2016/08/03-14:30,2974.56,2975.91,2968.2,2974.84,1699724,2975.6,2971.3,2960.95,2988.2,1699724,1545625.63,1858662.38,-0.17,-3.77,7.21
 2016/08/03-15:00,2974.52,2979.17,2973.78,2978.46,2737507,2976.6,2973.8,2962.75,2987.5,2737507,1756364.75,2009190.38,0.51,-2.92,6.85
 2016/08/04-10:00,2976.41,2978.84,2967.09,2967.5,3200743,2974.2,2974.2,2964,2986.7,3200743,2112102.5,2161868.75,0.16,-2.3,4.92
 2016/08/04-10:30,2966.69,2968.26,2961.7,2966.49,2275050,2972.4,2973.7,2964.95,2985.92,2275050,2299084.75,2138521.5,-0.2,-1.88,3.36
 2016/08/04-11:00,2966.59,2971.21,2959.2,2968.71,1853319,2971.2,2973.2,2965.8,2985.27,1853319,2353356.75,2013184,-0.3,-1.56,2.53
 2016/08/04-11:30,2969.09,2972.84,2966.34,2972.66,1361616,2970.8,2973.2,2966.75,2984.57,1361616,2285568,1915596.75,-0.06,-1.26,2.41
 2016/08/04-13:30,2973.69,2977.09,2969.97,2976.57,1253579,2970.4,2973.5,2967.85,2983.62,1253579,1989017.63,1872691.25,0.44,-0.92,2.73
 2016/08/04-14:00,2977,2977.38,2971.43,2975.42,1350637,2972,2973.1,2969.1,2982.7,1350637,1618944,1865523.25,0.74,-0.59,2.65
 2016/08/04-14:30,2975.2,2981.79,2974.57,2976.05,1518868,2974,2973.2,2970,2981.83,1518868,1467596.75,1883340.75,1.01,-0.27,2.56
 2016/08/04-15:00,2975.48,2982.65,2973.35,2982.43,2516982,2976.6,2973.9,2971.4,2981.05,2516982,1600307.25,1976832,1.72,0.13,3.19
 2016/08/05-10:00,2978.78,2982.18,2971.64,2980.1,3389005,2978,2974.4,2972.85,2980.17,3389005,2005811.25,2145689.5,2.07,0.52,3.11
