date,open,high,low,close,volume
1990-12-31,96.05,127.61,95.79,127.61,15
1991-01-31,127.61,135.19,127.61,129.97,663
1991-02-28,129.5,134.87,128.06,133.01,502
1991-03-29,132.53,132.53,120.11,120.19,234
1991-04-30,120.69,122.2,113.89,113.94,696
1991-05-31,113.04,114.83,104.96,114.83,757
1991-06-28,115.9,137.56,114.89,137.56,770
1991-07-31,136.64,143.8,131.87,143.8,1589
1991-08-30,145.12,178.43,143.8,178.43,799
1991-09-30,180.08,191.18,178.43,180.92,2851
1991-10-31,181.55,218.6,179.8,218.6,2223
1991-11-29,220.71,259.85,218.6,259.6,953
1991-12-31,261.78,292.75,259.67,292.75,424
1992-01-31,293.74,313.24,292.76,313.24,160
1992-02-28,314.18,364.67,313.24,364.66,1075
1992-03-31,365.15,382.06,364.66,381.24,1604
1992-04-30,381.55,448.94,381.01,445.38,5094
1992-05-29,454.86,1429.01,439.96,1234.71,10722
1992-06-30,1175.69,1249.58,1033.47,1191.19,7931
1992-07-31,1199.54,1215.24,961.61,1052.07,13873
1992-08-31,1034.7,1060.36,627.36,823.27,20394
1992-09-30,826.96,832.84,595.42,702.32,20889
1992-10-30,676.47,713.77,447.93,507.25,20456
1992-11-30,471.18,752.32,386.85,724.6,32508
1992-12-31,718.99,841.02,592.78,780.39,47608
1993-01-29,784.13,1198.48,777.16,1198.48,73408
1993-02-26,1242.35,1558.95,1196.47,1339.88,122747
1993-03-31,1328.22,1339.1,913.74,925.91,76208
1993-04-30,921.59,1392.62,915.59,1358.78,129973
1993-05-31,1365.15,1380.5,930.64,935.48,66114
1993-06-30,935.9,1177.91,859.48,1007.05,90641
1993-07-30,1000.8,1009.89,777.73,881.07,65594
1993-08-31,885.31,1042.47,823,895.68,149758
1993-09-30,898.01,947.53,864.38,890.27,61938
1993-10-29,895.69,934.4,774.54,814.82,151446
1993-11-30,801.86,1011.76,793.32,984.93,269265
1993-12-31,993.67,1044.85,750.46,833.8,281854
1994-01-31,837.7,907.09,760.78,770.25,242444
1994-02-28,770.25,818.57,749.63,770.98,150684
1994-03-31,771.52,807.52,694.03,704.46,535396
1994-04-29,704.93,705.41,536.34,592.56,393132
1994-05-31,593.94,620.94,537.78,556.26,419438
1994-06-30,554.08,556.9,458.74,469.29,211912
1994-07-29,469.27,469.43,325.89,333.92,154277
1994-08-31,394.87,787.22,377.97,785.33,2073209
1994-09-30,785.61,1052.94,785.56,791.15,1487521
1994-10-31,770.9,794.85,546.79,654.98,655763
1994-11-30,667.66,743.22,648.68,683.59,323854
1994-12-30,684.02,695.22,620.47,647.87,216329
1995-01-27,637.72,657.45,547.38,562.59,77291
1995-02-28,559.78,608.58,524.43,549.26,103857
1995-03-31,548.91,648.04,545.72,646.92,293717
1995-04-28,651.04,681.15,547.21,579.93,303829
1995-05-31,576.69,926.41,564.86,700.51,613262
1995-06-30,703.72,722.3,625.7,630.58,266575
1995-07-31,623.14,723.68,610.33,695.55,669986
